clusters	baseline_props	mean_props_Heart	mean_props_Intestine	mean_props_Muscle	f_statistics	p_values	adjusted_p_values
Cardiomyocytes	0.06997089528826711	0.6629073828254518	0.0	0.0	231.62699048486385	0.0	0.0
Chromaffin cells	0.007953320639496057	0.0	0.019418683730309177	0.0	63.794972664652995	0.0	0.0
Erythroblasts	0.21212271813779543	0.023151214905569845	0.0	0.0	23.989931324064823	3.8133385338312564e-11	6.991120645357304e-11
Intestinal epithelial cells	0.025493801659310245	0.0	0.40600153699286756	0.0	31.423269677407383	2.2537527399890678e-14	4.9582560279759494e-14
Lymphoid cells	0.0357674232235099	0.04783282141761748	0.23862575645806547	0.0	9.552508829770318	7.102285510962592e-05	8.68057118006539e-05
Myeloid cells	0.040496550610204976	0.030123249629169457	0.07475162816808191	0.0	20.682921837916982	1.0411689288503112e-09	1.6361226024790604e-09
Satellite cells	0.008074460848416325	0.0	0.0	0.25858644025547095	3139.391622636753	0.0	0.0
Skeletal muscle cells	0.011216340882335583	0.0	0.0	0.3501920159132079	444.8868689769764	0.0	0.0
Smooth muscle cells	0.010908831121230287	0.030924323156409354	0.0416861841453534	0.04180585553794187	0.6720195286812771	0.5106762104358598	0.5106762104358598
Stromal cells	0.12968991212675615	0.14684715375436197	0.20169578284396966	0.24992623420078397	8.373064538848501	0.00023100653937779825	0.00025410719331557806
Vascular endothelial cells	0.049482669184726394	0.05821385431141986	0.017820427661353118	0.09948945409259509	17.76933393805352	1.9181224275577335e-08	2.6374183378918836e-08
Hepatoblasts	0.06575739032928393	0.0	0.0	0.0		1.0	1.0
Adrenocortical cells	0.08443627869702834	0.0	0.0	0.0		1.0	1.0
Trophoblast giant cells	0.00938060079331306	0.0	0.0	0.0		1.0	1.0
Astrocytes	0.012881242215188497	0.0	0.0	0.0		1.0	1.0
Excitatory neurons	0.07568622822194129	0.0	0.0	0.0		1.0	1.0
Photoreceptor cells	0.0033872666109628783	0.0	0.0	0.0		1.0	1.0
Metanephric cells	0.06569992638402689	0.0	0.0	0.0		1.0	1.0
Ganglion cells	0.001483191019472512	0.0	0.0	0.0		1.0	1.0
Thymocytes	0.030659344414038597	0.0	0.0	0.0		1.0	1.0
Mesangial cells	0.012435508369545973	0.0	0.0	0.0		1.0	1.0
Ureteric bud cells	0.014119046657617389	0.0	0.0	0.0		1.0	1.0
Inhibitory neurons	0.019253527820314902	0.0	0.0	0.0		1.0	1.0
Retinal pigment cells	0.0008914676912850491	0.0	0.0	0.0		1.0	1.0
Epithelial cells	0.0008852553728788816	0.0	0.0	0.0		1.0	1.0
Goblet cells	0.0018668016810533608	0.0	0.0	0.0		1.0	1.0
